"","icpsr","name","party_code","chamber","state_abbrev","dim1","dim2","coord1D","correctYea","wrongYea","correctNay","wrongNay"
"61","10627","ST. ONGE, William Leon","100","House","CT","-0.417","-0.044",NA,NA,NA,NA,NA
"62","3553","GIAIMO, Robert Nicholas","100","House","CT","-0.318","0.093",0.0509675107896328,80,18,32,12
"63","10560","SIBAL, Abner Woodruff","200","House","CT","0.098","-0.787",NA,NA,NA,NA,NA
"64","6586","MONAGAN, John Stephen","100","House","CT","-0.228","-0.018",0.0718615427613258,24,3,9,1
"65","10590","GRABOWSKI, Bernard Francis","100","House","CT","-0.345","-0.149",NA,NA,NA,NA,NA
"66","6224","McDOWELL, Harris Brown, Jr.","100","House","DE","-0.401","0.097",NA,NA,NA,NA,NA
"67","8507","SIKES, Robert Lee Fulton","100","House","FL","-0.128","0.926",0.264990240335464,88,12,31,2
"68","633","BENNETT, Charles Edward","100","House","FL","-0.088","0.421",0.105358891189098,169,29,65,37
"69","7333","PEPPER, Claude Denson","100","House","FL","-0.422","0.357",-0.0229693632572889,134,17,56,10
"70","3078","FASCELL, Dante Bruno","100","House","FL","-0.4","0.229",-0.101274617016315,188,15,76,8
"71","4354","HERLONG, Albert Sydney, Jr.","100","House","FL","-0.007","0.74",NA,NA,NA,NA,NA
"72","8032","ROGERS, Paul Grant","100","House","FL","-0.085","0.407",0.0207538437098265,90,16,29,12
"73","3929","HALEY, James Andrew","100","House","FL","0.098","0.694",0.258593589067459,63,12,26,8
"74","6084","MATTHEWS, Donald Ray (Billy)","100","House","FL","-0.176","0.984",NA,NA,NA,NA,NA
"75","10587","FUQUA, Don","100","House","FL","-0.173","0.715",0.150295346975327,137,21,59,15
"76","10588","GIBBONS, Sam Melville","100","House","FL","-0.233","0.17",-0.0853818729519844,212,29,81,19
"77","10593","GURNEY, Edward John","200","House","FL","0.306","0.183",NA,NA,NA,NA,NA
"78","2143","CRAMER, William Cato","200","House","FL","0.218","0.159",NA,NA,NA,NA,NA
"79","10522","HAGAN, George Elliott","100","House","GA","-0.077","0.997",0.239088654518127,21,5,12,2
"80","7450","PILCHER, John Leonard","100","House","GA","-0.174","0.985",NA,NA,NA,NA,NA
"81","3286","FORRESTER, Elijah Lewis","100","House","GA","-0.041","0.999",NA,NA,NA,NA,NA
"82","3242","FLYNT, John James, Jr.","100","House","GA","0","1",0.394629120826721,55,13,38,10
"83","10636","WELTNER, Charles Longstreet","100","House","GA","-0.201","0.248",NA,NA,NA,NA,NA
"84","9677","VINSON, Carl","100","House","GA","-0.212","0.728",NA,NA,NA,NA,NA
"85","10512","DAVIS, John William","100","House","GA","-0.195","0.92",0.197526216506958,26,8,17,1
"86","10632","TUTEN, James Russell","100","House","GA","-0.192","0.981",NA,NA,NA,NA,NA
"87","5436","LANDRUM, Phillip Mitchell","100","House","GA","-0.134","0.991",0.287222534418106,40,6,21,3
"88","10563","STEPHENS, Robert Grier, Jr.","100","House","GA","-0.194","0.944",0.27710896730423,53,8,25,2
"89","10589","GILL, Thomas Ponce","100","House","HI","-0.669","-0.065",NA,NA,NA,NA,NA
