congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,12016,2,ID,R,"HANSEN, Orval Howard",-0.207
91,House,226,17,IL,R,"ARENDS, Leslie Cornelius",-0.138
91,House,1941,10,IL,R,"COLLIER, Harold Reginald",-1.968
91,House,2433,1,IL,D,"DAWSON, William Levi",-0.03
91,House,2525,4,IL,R,"DERWINSKI, Edward Joseph",1.357
91,House,3769,21,IL,D,"GRAY, Kenneth James",0.037
91,House,5326,5,IL,D,"KLUCZYNSKI, John Carl",-0.189
91,House,6455,18,IL,R,"MICHEL, Robert Henry",-0.098
91,House,6816,3,IL,D,"MURPHY, William Thomas",-0.241
91,House,7610,24,IL,D,"PRICE, Charles Melvin",-0.432
91,House,7642,11,IL,D,"PUCINSKI, Roman Conrad",-0.2
91,House,8080,8,IL,D,"ROSTENKOWSKI, Daniel David",-0.088
91,House,8474,23,IL,D,"SHIPLEY, George Edward",-0.14
91,House,8814,22,IL,R,"SPRINGER, William Lee",0.075
91,House,10421,9,IL,D,"YATES, Sidney Richard",-1.844
91,House,10501,16,IL,R,"ANDERSON, John Bayard",-0.231
91,House,10517,20,IL,R,"FINDLEY, Paul",-0.19
91,House,10606,12,IL,R,"McCLORY, Robert",-0.169
91,House,10617,15,IL,R,"REID, Charlotte Thompson",-0.24
91,House,10622,13,IL,R,"RUMSFELD, Donald Henry",0.01
91,House,10703,7,IL,D,"ANNUNZIO, Frank",-0.172
91,House,10722,14,IL,R,"ERLENBORN, John Neal",1.392
91,House,10765,6,IL,D,"RONAN, Daniel John",0.015
91,House,11041,19,IL,R,"RAILSBACK, Thomas Fisher",-0.299
91,House,12025,2,IL,D,"MIKVA, Abner Joseph",-1.944
91,House,12041,13,IL,R,"CRANE, Philip Miller",1.526
91,House,18,4,IN,R,"ADAIR, Edwin Ross",-0.074
91,House,948,3,IN,D,"BRADEMAS, John",-0.477
91,House,986,6,IN,R,"BRAY, William Gilmer",1.329
91,House,5900,1,IN,D,"MADDEN, Ray John",-0.188
91,House,10552,5,IN,R,"ROUDEBUSH, Richard Lowell",-0.314
91,House,10732,9,IN,D,"HAMILTON, Lee Herbert",-0.223
91,House,10742,11,IN,D,"JACOBS, Andrew, Jr.",-1.89
91,House,11036,7,IN,R,"MYERS, John Thomas",0.032
