congress,party_code,chamber,type,median
107,329,House,median_coord1D,-0.27013614773750305
107,329,House,median_dim1,-0.418
108,100,House,median_coord1D,-0.3865712732076645
108,100,House,median_dim1,-0.3845
108,200,House,median_coord1D,0.5688138008117676
108,200,House,median_dim1,0.404
108,328,House,median_coord1D,-0.5169421434402466
108,328,House,median_dim1,-0.542
109,100,House,median_coord1D,-0.40936988592147827
109,100,House,median_dim1,-0.392
109,200,House,median_coord1D,0.5853537321090698
109,200,House,median_dim1,0.409
109,328,House,median_coord1D,-0.5169421434402466
109,328,House,median_dim1,-0.542
110,100,House,median_coord1D,-0.3981286436319351
110,100,House,median_dim1,NA
110,200,House,median_coord1D,0.6258705854415894
110,200,House,median_dim1,0.426
111,100,House,median_coord1D,-0.38855601847171783
111,100,House,median_dim1,NA
111,200,House,median_coord1D,0.6523222923278809
111,200,House,median_dim1,0.449
112,100,House,median_coord1D,-0.47629299759864807
112,100,House,median_dim1,-0.396
112,200,House,median_coord1D,0.679872989654541
112,200,House,median_dim1,0.467
113,100,House,median_coord1D,-0.4763736128807068
113,100,House,median_dim1,-0.393
113,200,House,median_coord1D,0.6934829354286194
113,200,House,median_dim1,0.49
114,100,House,median_coord1D,-0.5086318254470825
114,100,House,median_dim1,-0.396
114,200,House,median_coord1D,0.7094634771347046
114,200,House,median_dim1,0.49
115,100,House,median_coord1D,-0.5086318254470825
115,100,House,median_dim1,-0.395
115,200,House,median_coord1D,0.7163589298725128
115,200,House,median_dim1,0.497
116,100,House,median_coord1D,-0.5164604187011719
116,100,House,median_dim1,-0.376
116,200,House,median_coord1D,0.7327734231948853
116,200,House,median_dim1,0.506
117,100,House,median_coord1D,-0.5134848058223724
117,100,House,median_dim1,-0.383
117,200,House,median_coord1D,0.7315325140953064
117,200,House,median_dim1,0.498
88,100,Senate,median_coord1D,-0.09944417327642441
88,100,Senate,median_dim1,-0.319
88,200,Senate,median_coord1D,0.284857839345932
88,200,Senate,median_dim1,0.275
89,100,Senate,median_coord1D,-0.09772603586316109
89,100,Senate,median_dim1,-0.316
89,200,Senate,median_coord1D,0.284857839345932
89,200,Senate,median_dim1,0.308
90,100,Senate,median_coord1D,-0.09772603586316109
90,100,Senate,median_dim1,-0.311
90,200,Senate,median_coord1D,0.19397582858800888
90,200,Senate,median_dim1,0.279
91,100,Senate,median_coord1D,-0.10161558166146278
91,100,Senate,median_dim1,-0.316
91,200,Senate,median_coord1D,0.209247924387455
91,200,Senate,median_dim1,0.273
92,100,Senate,median_coord1D,-0.09944417327642441
92,100,Senate,median_dim1,-0.311
92,112,Senate,median_coord1D,0.16930730640888214
92,112,Senate,median_dim1,0.499
92,200,Senate,median_coord1D,0.16160160303115845
92,200,Senate,median_dim1,0.271
93,100,Senate,median_coord1D,-0.1493544951081276
93,100,Senate,median_dim1,-0.319
93,112,Senate,median_coord1D,0.16930730640888214
93,112,Senate,median_dim1,0.499
93,200,Senate,median_coord1D,0.21572373807430267
93,200,Senate,median_dim1,0.278
94,100,Senate,median_coord1D,-0.1519637480378151
94,100,Senate,median_dim1,-0.319
94,112,Senate,median_coord1D,0.16930730640888214
94,112,Senate,median_dim1,0.499
94,200,Senate,median_coord1D,0.2411544844508171
94,200,Senate,median_dim1,0.28049999999999997
95,100,Senate,median_coord1D,-0.16007237881422043
95,100,Senate,median_dim1,-0.327
95,200,Senate,median_coord1D,0.2634935826063156
95,200,Senate,median_dim1,0.2935
96,100,Senate,median_coord1D,-0.16572575271129608
96,100,Senate,median_dim1,-0.319
96,200,Senate,median_coord1D,0.2604019343852997
96,200,Senate,median_dim1,0.275
97,100,Senate,median_coord1D,-0.15441900491714478
97,100,Senate,median_dim1,-0.314
97,200,Senate,median_coord1D,0.2655928134918213
97,200,Senate,median_dim1,0.287
98,100,Senate,median_coord1D,-0.17008733749389648
98,100,Senate,median_dim1,-0.314
98,200,Senate,median_coord1D,0.2629973739385605
98,200,Senate,median_dim1,0.285
99,100,Senate,median_coord1D,-0.23989823460578918
99,100,Senate,median_dim1,-0.322
99,200,Senate,median_coord1D,0.2690765708684921
99,200,Senate,median_dim1,0.294
100,100,Senate,median_coord1D,-0.27213427424430847
100,100,Senate,median_dim1,-0.313
100,200,Senate,median_coord1D,0.2660890221595764
100,200,Senate,median_dim1,0.3025
101,100,Senate,median_coord1D,-0.29709799587726593
101,100,Senate,median_dim1,-0.306
101,200,Senate,median_coord1D,0.3106639087200165
101,200,Senate,median_dim1,0.31
102,100,Senate,median_coord1D,-0.30822187662124634
102,100,Senate,median_dim1,-0.309
102,200,Senate,median_coord1D,0.3608696162700653
102,200,Senate,median_dim1,0.31
103,100,Senate,median_coord1D,-0.3182757496833801
103,100,Senate,median_dim1,-0.311
103,200,Senate,median_coord1D,0.38061922788619995
103,200,Senate,median_dim1,0.346
104,100,Senate,median_coord1D,-0.34944045543670654
104,100,Senate,median_dim1,-0.309
104,200,Senate,median_coord1D,0.4370753765106201
104,200,Senate,median_dim1,0.357
105,100,Senate,median_coord1D,-0.3727179169654846
105,100,Senate,median_dim1,-0.308
105,200,Senate,median_coord1D,0.4637449085712433
105,200,Senate,median_dim1,0.381
106,100,Senate,median_coord1D,-0.40077391266822815
106,100,Senate,median_dim1,-0.303
106,200,Senate,median_coord1D,0.45933862030506134
106,200,Senate,median_dim1,0.3735
107,100,Senate,median_coord1D,-0.45874594151973724
107,100,Senate,median_dim1,-0.3085
107,200,Senate,median_coord1D,0.4703555554151535
107,200,Senate,median_dim1,0.3815
107,328,Senate,median_coord1D,-0.5531050562858582
107,328,Senate,median_dim1,-0.277
108,100,Senate,median_coord1D,-0.45591798424720764
108,100,Senate,median_dim1,-0.309
108,200,Senate,median_coord1D,0.4474484920501709
108,200,Senate,median_dim1,0.364
108,328,Senate,median_coord1D,-0.5531050562858582
108,328,Senate,median_dim1,-0.277
109,100,Senate,median_coord1D,-0.47371572256088257
109,100,Senate,median_dim1,-0.326
109,200,Senate,median_coord1D,0.5227392315864563
109,200,Senate,median_dim1,0.381
109,328,Senate,median_coord1D,-0.5531050562858582
109,328,Senate,median_dim1,-0.277
110,100,Senate,median_coord1D,-0.4794607013463974
110,100,Senate,median_dim1,-0.3135
110,200,Senate,median_coord1D,0.5356441736221313
110,200,Senate,median_dim1,0.395
110,328,Senate,median_coord1D,-0.7028549909591675
110,328,Senate,median_dim1,-0.542
111,100,Senate,median_coord1D,-0.5037103295326233
111,100,Senate,median_dim1,-0.311
111,200,Senate,median_coord1D,0.5579267740249634
111,200,Senate,median_dim1,0.403
111,328,Senate,median_coord1D,-0.7028549909591675
111,328,Senate,median_dim1,-0.542
112,100,Senate,median_coord1D,-0.5285958647727966
112,100,Senate,median_dim1,-0.319
112,200,Senate,median_coord1D,0.614505410194397
112,200,Senate,median_dim1,0.416
112,328,Senate,median_coord1D,-0.7028549909591675
112,328,Senate,median_dim1,-0.542
113,100,Senate,median_coord1D,-0.5987622141838074
113,100,Senate,median_dim1,-0.33
113,200,Senate,median_coord1D,0.6310392618179321
113,200,Senate,median_dim1,0.426
113,328,Senate,median_coord1D,-0.6526016891002655
113,328,Senate,median_dim1,-0.35200000000000004
114,100,Senate,median_coord1D,-0.6912193596363068
114,100,Senate,median_dim1,-0.3365
114,200,Senate,median_coord1D,0.6693408191204071
114,200,Senate,median_dim1,0.445
114,328,Senate,median_coord1D,-0.6526016891002655
114,328,Senate,median_dim1,-0.35200000000000004
115,100,Senate,median_coord1D,-0.6909272074699402
115,100,Senate,median_dim1,-0.336
115,200,Senate,median_coord1D,0.6770707368850708
115,200,Senate,median_dim1,0.463
115,328,Senate,median_coord1D,-0.6526016891002655
115,328,Senate,median_dim1,-0.35200000000000004
116,100,Senate,median_coord1D,-0.7002880871295929
116,100,Senate,median_dim1,-0.34550000000000003
116,200,Senate,median_coord1D,0.6856350898742676
116,200,Senate,median_dim1,0.465
116,328,Senate,median_coord1D,-0.6526016891002655
116,328,Senate,median_dim1,-0.35200000000000004
117,100,Senate,median_coord1D,-0.6915115118026733
117,100,Senate,median_dim1,-0.343
117,200,Senate,median_coord1D,0.6931942105293274
117,200,Senate,median_dim1,0.467
117,328,Senate,median_coord1D,-0.6526016891002655
117,328,Senate,median_dim1,-0.35200000000000004
