"","icpsr","name","party_code","state_abbrev","ambiguity","dim1","dim2","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","se1D","prop1","prop2","prop3","chamber"
"23","10505","BELL, Alphonzo","200","CA",0,0.183,"-0.336",44,9,6,21,0.632632970809937,0.8125,0.126946598291397,0,83.0188679245283,77.7777777777778,80.398322851153,"House"
"24","10573","BROWN, George Edward, Jr.","100","CA",0,-0.506,"-0.028",222,21,7,87,0.795308828353882,0.916913946587537,-0.212476417422295,0,91.358024691358,92.5531914893617,91.9556080903599,"House"
"25","10621","ROYBAL, Edward R.","100","CA",0,-0.61,"-0.141",190,14,10,70,0.815589487552643,0.915492957746479,-0.222951024770737,0,93.1372549019608,87.5,90.3186274509804,"House"
"26","10640","WILSON, Charles Herbert","100","CA",0,-0.39,"0.357",70,20,6,24,0.683020651340485,0.783333333333333,-0.00970641896128654,0,77.7777777777778,80,78.8888888888889,"House"
"27","4592","HOSMER, Craig","200","CA",0,0.276,"-0.292",32,6,1,16,0.672359824180603,0.872727272727273,0.21418571472168,0,84.2105263157895,94.1176470588235,89.1640866873065,"House"
"28","10594","HANNA, Richard Thomas","100","CA",0,-0.347,"0.043",23,3,2,9,0.711155593395233,0.864864864864865,0.0215092971920967,0,88.4615384615385,81.8181818181818,85.1398601398601,"House"
"29","10249","WILSON, Robert Carlton (Bob)","200","CA",0,0.264,"-0.265",80,16,5,35,0.689737617969513,0.845588235294118,0.219713047146797,0,83.3333333333333,87.5,85.4166666666667,"House"
"30","10633","VAN DEERLIN, Lionel","100","CA",0,-0.401,"-0.005",91,16,4,31,0.748600542545319,0.859154929577465,-0.0812868475914001,0,85.0467289719626,88.5714285714286,86.8090787716956,"House"
"31","10572","BROTZMAN, Donald Glenn","200","CO",0,0.157,"-0.254",31,7,3,16,0.690813958644867,0.824561403508772,0.130254313349724,0,81.578947368421,84.2105263157895,82.8947368421053,"House"
"32","275","ASPINALL, Wayne Norviel","100","CO",0,-0.315,"0.454",26,3,1,13,0.75002110004425,0.906976744186046,0.204647436738014,0,89.6551724137931,92.8571428571429,91.256157635468,"House"
"33","3553","GIAIMO, Robert Nicholas","100","CT",0,-0.318,"0.093",80,18,12,32,0.684194505214691,0.788732394366197,0.0509675107896328,0,81.6326530612245,72.7272727272727,77.1799628942486,"House"
"34","6586","MONAGAN, John Stephen","100","CT",0,-0.228,"-0.018",24,3,1,9,0.738292098045349,0.891891891891892,0.0718615427613258,0,88.8888888888889,90,89.4444444444444,"House"
"35","8507","SIKES, Robert Lee Fulton","100","FL",0,-0.128,"0.926",88,12,2,31,0.764190971851349,0.894736842105263,0.264990240335464,0,88,93.9393939393939,90.969696969697,"House"
"36","633","BENNETT, Charles Edward","100","FL",0,-0.088,"0.421",169,29,37,65,0.663122415542603,0.78,0.105358891189098,0,85.3535353535353,63.7254901960784,74.5395127748069,"House"
"37","7333","PEPPER, Claude Denson","100","FL",0,-0.422,"0.357",134,17,10,56,0.761192500591278,0.875576036866359,-0.0229693632572889,0,88.7417218543046,84.8484848484848,86.7951033513947,"House"
"38","3078","FASCELL, Dante Bruno","100","FL",0,-0.4,"0.229",188,15,8,76,0.816548645496368,0.9198606271777,-0.101274617016315,0,92.6108374384236,90.4761904761905,91.543513957307,"House"
"39","8032","ROGERS, Paul Grant","100","FL",0,-0.085,"0.407",90,16,12,29,0.695400059223175,0.80952380952381,0.0207538437098265,0,84.9056603773585,70.7317073170732,77.8186838472158,"House"
"40","3929","HALEY, James Andrew","100","FL",0,0.098,"0.694",63,12,8,26,0.68220728635788,0.81651376146789,0.258593589067459,0,84,76.4705882352941,80.2352941176471,"House"
"41","10587","FUQUA, Don","100","FL",0,-0.173,"0.715",137,21,15,59,0.715645909309387,0.844827586206897,0.150295346975327,0,86.7088607594937,79.7297297297297,83.2192952446117,"House"
"42","10588","GIBBONS, Sam Melville","100","FL",0,-0.233,"0.17",212,29,19,81,0.714990198612213,0.859237536656892,-0.0853818729519844,0,87.9668049792531,81,84.4834024896266,"House"
"43","10522","HAGAN, George Elliott","100","GA",0,-0.077,"0.997",21,5,2,12,0.704826414585114,0.825,0.239088654518127,0,80.7692307692308,85.7142857142857,83.2417582417582,"House"
"44","3242","FLYNT, John James, Jr.","100","GA",0,0,"1",55,13,10,38,0.679966688156128,0.801724137931034,0.394629120826721,0,80.8823529411765,79.1666666666667,80.0245098039216,"House"
"45","10512","DAVIS, John William","100","GA",0,-0.195,"0.92",26,8,1,17,0.681881844997406,0.826923076923077,0.197526216506958,0,76.4705882352941,94.4444444444444,85.4575163398693,"House"
"46","5436","LANDRUM, Phillip Mitchell","100","GA",0,-0.134,"0.991",40,6,3,21,0.723516345024109,0.871428571428571,0.287222534418106,0,86.9565217391304,87.5,87.2282608695652,"House"
"47","10563","STEPHENS, Robert Grier, Jr.","100","GA",0,-0.194,"0.944",53,8,2,25,0.728684961795807,0.886363636363636,0.27710896730423,0,86.8852459016393,92.5925925925926,89.738919247116,"House"
"48","10605","MATSUNAGA, Spark Masayuki","100","HI",0,-0.379,"-0.032",54,10,6,20,0.728707492351532,0.822222222222222,0.00149696052540094,0,84.375,76.9230769230769,80.6490384615385,"House"
